ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
venda,,274,ven,ven,{},-22.0,30.0,Africa,,Venda,1283,False,False
dongo,,287,dgo,doo,{},3.0,30.0,Africa,,Dongo,1389,False,False
masakin,,281,msk,jle,{},10.6666666667,30.0,Africa,,Masakin,1406,False,False
shatt,,318,sht,shj,{},10.8333333333,30.0,Africa,,Shatt,1481,False,False
avokaya,,304,avo,avu,{},4.66666666667,30.0,Africa,,Avokaya,1496,False,False
kinyarwanda,,274,kin,kin,{},-2.0,30.0,Africa,,Kinyarwanda,1761,False,False
jurmodo,,305,jmo,bex,{},6.0,30.0,Africa,,Jur Mödö,1932,False,False
krongo,,198,kro,kgo,{},10.5,30.0,Africa,,Krongo,2497,True,True
zulu,,274,zul,zul,{},-30.0,30.0,Africa,,Zulu,2516,True,True
holoholo,,274,hol,hoo,{},-5.16666666667,29.9166666667,Africa,,Holoholo,1071,False,False
nkorekiga,,274,nko,cgg,{},-0.916666666667,29.8333333333,Africa,,Nkore-Kiga,2421,False,True
moru,,304,mou,mgd,{},4.75,29.75,Africa,,Moru,1906,False,False
talinga,,274,tal,tlj,{},0.416666666667,29.6666666667,Africa,,Talinga,1052,False,False
katcha,,198,ktc,xtc,{},10.8333333333,29.6666666667,Africa,,Katcha,1244,False,False
kadugli,,198,kad,xtc,{},11.0,29.6666666667,Africa,,Kadugli,1685,False,False
tabwa,,274,tbw,tap,{},-8.0,29.5,Africa,,Tabwa,1425,False,False
temein,,297,tmn,teq,{},11.9166666667,29.4166666667,Africa,,Temein,1848,False,False
katla,,284,ktl,kcr,{},11.8333333333,29.3333333333,Africa,,Katla,1723,False,False
nyimang,,302,nyi,nyi,{},12.1666666667,29.3333333333,Africa,,Nyimang,1940,False,False
bakainsudan,,305,bka,bdh,{},4.83333333333,29.25,Africa,,Baka (in Sudan),1441,False,False
tima,,284,tia,tms,{},11.6666666667,29.25,Africa,,Tima,2577,False,False
nande,,274,nde,nnb,{},-0.0833333333333,29.1666666667,Africa,,Nande,944,False,False
lese,,303,les,les,{},2.0,29.0,Africa,,Lese,374,False,False
sothonorthern,,274,stn,nso,{},-24.0,29.0,Africa,,Sotho (Northern),1424,False,False
mamvu,,303,mmv,mdi,{},3.25,29.0,Africa,,Mamvu,1515,False,False
ndebeleinsouthafrica,,274,ndb,nbl,{},-25.3333333333,29.0,Africa,,Ndebele (in South Africa),1810,False,False
mayogo,,287,myg,mdm,{},3.0,29.0,Africa,,Mayogo,2587,False,False
hunde,,274,hnd,hke,{},-1.16666666667,28.8333333333,Africa,,Hunde,1720,False,False
bira,,274,bia,"bip, brf",{},1.0,28.75,Africa,,Bira,1103,False,False
bongo,,305,bgo,bot,{},7.5,28.5,Africa,,Bongo,1674,False,False
bemba,,274,bem,bmy,{},-10.0,28.25,Africa,,Bemba,1296,False,False
nyanga,,274,nng,nyj,{},-1.25,28.1666666667,Africa,,Nyanga,575,False,False
luwo,,320,jlu,lwo,{},8.0,28.0,Africa,,Luwo,802,False,False
lamba,,274,lmb,lam,{},-13.0,28.0,Africa,,Lamba,1081,False,False
ma,,287,ma,msj,{},3.5,28.0,Africa,,Ma,1187,False,False
dinka,,320,din,dip,{},8.5,28.0,Africa,,Dinka,2203,False,False
budu,,274,bdu,buu,{},2.0,28.0,Africa,,Budu,2594,False,False
kalanga,,274,klz,kck,{},-20.5,27.5,Africa,,Kalanga,343,False,False
hemba,,274,hem,hem,{},-6.25,27.1666666667,Africa,,Hemba,1070,False,False
lega,,274,leg,lea,{},-2.83333333333,27.1666666667,Africa,,Lega,1184,False,False
ndogo,,287,ndg,ndz,{},7.75,27.0,Africa,,Ndogo,415,False,False
barambu,,287,bbu,brm,{},3.5,27.0,Africa,,Barambu,1345,False,False
tongainzambia,,274,toz,toi,{},-17.0,27.0,Africa,,Tonga (in Zambia),1375,False,False
xhosa,,274,xho,xho,{},-32.0,27.0,Africa,,Xhosa,1818,False,False
sesotho,,274,ses,sot,{},-28.0,27.0,Africa,,Sesotho,1963,False,False
ila,,274,ila,ilb,{},-15.5833333333,26.5,Africa,,Ila,1600,False,False
mangbetu,,315,mbt,mdj,{},2.5,26.5,Africa,,Mangbetu,1653,False,False
midob,,307,mid,mei,{},15.0833333333,26.25,Africa,,Midob,938,False,False
tswana,,274,tsw,tsn,{},-24.0,26.0,Africa,,Tswana,844,False,False
lozi,,274,loz,loz,{},-17.8333333333,26.0,Africa,,Lozi,933,False,False
kiluba,,274,kil,lub,{},-8.0,26.0,Africa,,Kiluba,1311,False,False
zande,,287,zan,zne,{},4.0,26.0,Africa,,Zande,2185,False,False
aja,,301,aja,aja,{},7.33333333333,25.6666666667,Africa,,Aja,1099,False,False
